,Object Number,Is Highlight,Is Public Domain,objectID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Repository,Department.y,ObjectNumber,PrimaryDisplay,Image File Name,Rank,URL
261148,31.54.46,FALSE,TRUE,387781,Drawings and Prints,Print,"Heauton Timouroumenos, from  The Comedies of Terence,  19th century reprint",NA,NA,NA,NA,NA,Artist,NA,Albrecht Dürer,"German, Nuremberg 1471–1528 Nuremberg",NA,"Dürer, Albrecht",German,1471,1528,n.d.,1485,1528,Woodcut,sheet: 3 1/2 x 5 5/8 in. (8.9 x 14.3 cm),"Bequest of James Clark McGuire, 1930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA,http://www.metmuseum.org/art/collection/search/387781,1/1/2018 8:00,"Metropolitan Museum of Art, New York, NY",Drawings and Prints,31.54.46,1,DP816806.jpg,1,https://images.metmuseum.org/CRDImages/dp/original/DP816806.jpg
261149,31.54.47,FALSE,TRUE,387782,Drawings and Prints,Print,"Heauton Timouroumenos, from The Comedies of Terence, 19th century reprint",NA,NA,NA,NA,NA,Artist,NA,Albrecht Dürer,"German, Nuremberg 1471–1528 Nuremberg",NA,"Dürer, Albrecht",German,1471,1528,n.d.,1485,1528,Woodcut,sheet: 3 1/2 x 5 5/8 in. (8.9 x 14.3 cm),"Bequest of James Clark McGuire, 1930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA,http://www.metmuseum.org/art/collection/search/387782,1/1/2018 8:00,"Metropolitan Museum of Art, New York, NY",Drawings and Prints,31.54.47,1,DP816807.jpg,1,https://images.metmuseum.org/CRDImages/dp/original/DP816807.jpg
261150,31.54.48,FALSE,TRUE,387783,Drawings and Prints,Print,"Heauton Timouroumenos, from The Comedies of Terence, 19th century reprint",NA,NA,NA,NA,NA,Artist,NA,Albrecht Dürer,"German, Nuremberg 1471–1528 Nuremberg",NA,"Dürer, Albrecht",German,1471,1528,n.d.,1485,1528,Woodcut,sheet: 3 1/2 x 5 5/8 in. (8.9 x 14.3 cm),"Bequest of James Clark McGuire, 1930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA,http://www.metmuseum.org/art/collection/search/387783,1/1/2018 8:00,"Metropolitan Museum of Art, New York, NY",Drawings and Prints,31.54.48,1,DP816808.jpg,1,https://images.metmuseum.org/CRDImages/dp/original/DP816808.jpg
261151,31.54.49,FALSE,TRUE,387784,Drawings and Prints,Print,"Eunuches, from The Comedie of Terence, 19th century reprint",NA,NA,NA,NA,NA,Artist,NA,Albrecht Dürer,"German, Nuremberg 1471–1528 Nuremberg",NA,"Dürer, Albrecht",German,1471,1528,n.d.,1485,1528,Woodcut,sheet: 3 1/2 x 5 5/8 in. (8.9 x 14.3 cm),"Bequest of James Clark McGuire, 1930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA,http://www.metmuseum.org/art/collection/search/387784,1/1/2018 8:00,"Metropolitan Museum of Art, New York, NY",Drawings and Prints,31.54.49,1,DP816809.jpg,1,https://images.metmuseum.org/CRDImages/dp/original/DP816809.jpg
261152,31.54.50,FALSE,TRUE,387785,Drawings and Prints,Print,"Andria,from The Comedie of Terence, 19th century reprint",NA,NA,NA,NA,NA,Artist,NA,Albrecht Dürer,"German, Nuremberg 1471–1528 Nuremberg",NA,"Dürer, Albrecht",German,1471,1528,n.d.,1485,1528,Woodcut,sheet: 3 1/2 x 5 5/8 in. (8.9 x 14.3 cm),"Bequest of James Clark McGuire, 1930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA,http://www.metmuseum.org/art/collection/search/387785,1/1/2018 8:00,"Metropolitan Museum of Art, New York, NY",Drawings and Prints,31.54.50,1,DP816810.jpg,1,https://images.metmuseum.org/CRDImages/dp/original/DP816810.jpg
261153,31.54.51,FALSE,TRUE,387786,Drawings and Prints,Print,"Andria, from The Comedie of Terence, 19th century reprint",NA,NA,NA,NA,NA,Artist,NA,Albrecht Dürer,"German, Nuremberg 1471–1528 Nuremberg",NA,"Dürer, Albrecht",German,1471,1528,n.d.,1485,1528,Woodcut,sheet: 3 1/2 x 5 5/8 in. (8.9 x 14.3 cm),"Bequest of James Clark McGuire, 1930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA,http://www.metmuseum.org/art/collection/search/387786,1/1/2018 8:00,"Metropolitan Museum of Art, New York, NY",Drawings and Prints,31.54.51,1,DP816811.jpg,1,https://images.metmuseum.org/CRDImages/dp/original/DP816811.jpg
261154,31.54.52,FALSE,TRUE,387787,Drawings and Prints,Print,"Adelphi, from The Comedie of Terence, 19th century reprint",NA,NA,NA,NA,NA,Artist,NA,Albrecht Dürer,"German, Nuremberg 1471–1528 Nuremberg",NA,"Dürer, Albrecht",German,1471,1528,n.d.,1485,1528,Woodcut,sheet: 3 1/2 x 5 5/8 in. (8.9 x 14.3 cm),"Bequest of James Clark McGuire, 1930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA,http://www.metmuseum.org/art/collection/search/387787,1/1/2018 8:00,"Metropolitan Museum of Art, New York, NY",Drawings and Prints,31.54.52,1,DP816803.jpg,1,https://images.metmuseum.org/CRDImages/dp/original/DP816803.jpg
261155,31.54.53,FALSE,TRUE,387788,Drawings and Prints,Print,"Hecyra, from The Comedie of Terence, 19th century reprint",NA,NA,NA,NA,NA,Artist,NA,Albrecht Dürer,"German, Nuremberg 1471–1528 Nuremberg",NA,"Dürer, Albrecht",German,1471,1528,n.d.,1485,1528,Woodcut,sheet: 3 1/2 x 5 5/8 in. (8.9 x 14.3 cm),"Bequest of James Clark McGuire, 1930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA,http://www.metmuseum.org/art/collection/search/387788,1/1/2018 8:00,"Metropolitan Museum of Art, New York, NY",Drawings and Prints,31.54.53,1,DP816804.jpg,1,https://images.metmuseum.org/CRDImages/dp/original/DP816804.jpg
261156,31.54.54,FALSE,TRUE,387789,Drawings and Prints,Print,"Phormio, from The Comedie of Terence, 19th century reprint",NA,NA,NA,NA,NA,Artist,NA,Albrecht Dürer,"German, Nuremberg 1471–1528 Nuremberg",NA,"Dürer, Albrecht",German,1471,1528,n.d.,1485,1528,Woodcut,sheet: 3 x 5 5/8 in. (7.7 x 14.3 cm),"Bequest of James Clark McGuire, 1930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA,http://www.metmuseum.org/art/collection/search/387789,1/1/2018 8:00,"Metropolitan Museum of Art, New York, NY",Drawings and Prints,31.54.54,1,DP816805.jpg,1,https://images.metmuseum.org/CRDImages/dp/original/DP816805.jpg
261157,31.54.55,FALSE,TRUE,387790,Drawings and Prints,Print,"Eunuchus, from The Comedie of Terence, 19th century reprint",NA,NA,NA,NA,NA,Artist,NA,Albrecht Dürer,"German, Nuremberg 1471–1528 Nuremberg",NA,"Dürer, Albrecht",German,1471,1528,n.d.,1485,1528,Woodcut,sheet: 3 1/2 x 5 5/8 in. (8.9 x 14.3 cm),"Bequest of James Clark McGuire, 1930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA,http://www.metmuseum.org/art/collection/search/387790,1/1/2018 8:00,"Metropolitan Museum of Art, New York, NY",Drawings and Prints,31.54.55,1,DP816812.jpg,1,https://images.metmuseum.org/CRDImages/dp/original/DP816812.jpg
