Object Begin Date	
1471	79
1472	113
1473	9
1474	6
1475	357
1476	7
1477	33
1478	9
1479	14
1480	157
1481	15
1482	9
1483	10
1484	10
1485	512
1486	3
1487	30
1488	13
1489	24
1490	108
1491	12
1492	28
1493	20
1494	19
1495	325
1496	37
1497	87
1498	61
1499	35
1500	4662
1501	352
1502	31
1503	110
1504	63
1505	213
1506	49
1507	89
1508	90
1509	86
1510	409
1511	111
1512	124
1513	55
1514	64
1515	276
1516	35
1517	134
1518	70
1519	56
1520	313
1521	43
1522	67
1523	32
1524	63
1525	300
1526	80
1527	135
1528	41
