Year,Book,Roundel,Block,Painting,Drawing,Print
1480,,,,,,1
1485,,,,,1,170
1490,,,,,1,1
1491,,,,,,2
1492,,,,,,6
1493,,,,,1,7
1495,,,,,,7
1496,,,,,,17
1497,,,,,,13
1498,,,,,1,17
1499,,,,,,8
1500,,,,,,11
1501,,,,,1,17
1502,,,,,,10
1503,,,2,,,34
1504,,,,,,21
1505,,1,,,,9
1507,,,,,,4
1508,,,,,,28
1509,,,,,,31
1510,,,,1,,41
1511,1,,,,,56
1512,,,,,1,41
1513,,,,,,18
1514,,,,,,19
1515,,,,,,15
1516,,,,1,,11
1517,,,,,,1
1518,,,,,,9
1519,,,,1,,9
1520,,,,,,6
1521,,,,,1,7
1522,,,,,1,1
1523,,,,,,10
1524,,,,,,1
1526,,,,,,2
