Department,Object Name,Title
American Decorative Arts,Coin,One-dollar Liberty Head Coin
American Decorative Arts,Coin,Ten-dollar Liberty Head Coin
American Decorative Arts,Coin,Two-and-a-Half Dollar Coin
American Decorative Arts,Coin,Two-and-a-Half Dollar Coin
American Decorative Arts,Coin,Two-and-a-Half Dollar Coin
American Decorative Arts,Coin,Two-and-a-Half Dollar Coin
American Decorative Arts,Coin,Two-and-a-Half Dollar Coin
American Decorative Arts,Coin,Two-and-a-Half Dollar Coin
American Decorative Arts,Coin,Two-and-a-Half Dollar Coin
American Decorative Arts,Coin,Two-and-a-half-dollar Indian Head Coin
American Decorative Arts,Coin,Two-and-a-half-dollar Liberty Head Coin
American Decorative Arts,Coin,Twenty-dollar Liberty Head Coin
American Decorative Arts,Coin,Five-dollar Indian Head Coin
American Decorative Arts,Coin,Five-dollar Liberty Head Coin
American Paintings and Sculpture,Coin,"Coin, 1/2 Real"
American Paintings and Sculpture,Peso,"Coin, 1/4 Peso"
American Paintings and Sculpture,Peso,"Coin, 1/4 Peso"
American Paintings and Sculpture,Peso,"Coin, 1/4 Peso"
American Paintings and Sculpture,Peso,"Coin, 1/4 Peso"
American Paintings and Sculpture,Peso,"Coin, 1/4 Peso"
American Paintings and Sculpture,Peso,"Coin, 1/4 Peso"
American Paintings and Sculpture,Coin,"Coin, 1/4 Real"
American Paintings and Sculpture,Coin,"Coin, 1/4 Real"
American Paintings and Sculpture,Centavos,"Coin, 10 Centavos"
American Paintings and Sculpture,Centavos,"Coin, 10 Centavos"
American Paintings and Sculpture,Centavos,"Coin, 10 Centavos"
American Paintings and Sculpture,Centavos,"Coin, 10 Centavos"
American Paintings and Sculpture,Centavos,"Coin, 10 Centavos"
American Paintings and Sculpture,Centavos,"Coin, 10 Centavos"
American Paintings and Sculpture,Centavos,"Coin, 10 Centavos"
American Paintings and Sculpture,Centavos,"Coin, 10 Centavos"
American Paintings and Sculpture,Pesos,"Coin, 20 Pesos"
American Decorative Arts,Bust,Bust of Abraham Lincoln
American Decorative Arts,Clock,Acorn Clock
American Decorative Arts,Vase,The Adams Vase
American Decorative Arts,Side Chair,Side Chair
American Decorative Arts,Figure,Figure of Admiral George Rodney
American Decorative Arts,Figure,Figure of Admiral Samuel Hood
American Decorative Arts,Advertisement,Advertisement for Norwich Stone Ware Factory
American Decorative Arts,Ale glass,Ale Glass
American Decorative Arts,Ale glass,Ale Glass
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
